edad,tipo_empleo,codigo,nivel_educativo,experiencia,estado_civil,ocupacion,raza,genero,ganancias,perdidas,horas_semanales,pais,salario
39.0,State-gov,77516,Advanced Education,13,Never-married,Adm-clerical,White,Male,2174,0,40,United-States,<=50K
50.0,Self-emp-not-inc,83311,Advanced Education,13,Married-civ-spouse,Exec-managerial,White,Male,0,0,13,United-States,<=50K
38.0,Private,215646,High School,9,Divorced,Handlers-cleaners,White,Male,0,0,40,United-States,<=50K
53.0,Private,234721,Basic Education,7,Married-civ-spouse,Handlers-cleaners,Black,Male,0,0,40,United-States,<=50K
28.0,Private,338409,Advanced Education,13,Married-civ-spouse,Prof-specialty,Black,Female,0,0,40,Cuba,<=50K
37.0,Private,284582,Advanced Education,14,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,United-States,<=50K
49.0,Private,160187,Basic Education,5,Married-spouse-absent,Other-service,Black,Female,0,0,16,Jamaica,<=50K
52.0,Self-emp-not-inc,209642,High School,9,Married-civ-spouse,Exec-managerial,White,Male,0,0,45,United-States,>50K
31.0,Private,45781,Advanced Education,14,Never-married,Prof-specialty,White,Female,14084,0,50,United-States,>50K
42.0,Private,159449,Advanced Education,13,Married-civ-spouse,Exec-managerial,White,Male,5178,0,40,United-States,>50K
37.0,Private,280464,Post-Secondary Education,10,Married-civ-spouse,Exec-managerial,Black,Male,0,0,80,United-States,>50K
30.0,State-gov,141297,Advanced Education,13,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,0,0,40,India,>50K
23.0,Private,122272,Advanced Education,13,Never-married,Adm-clerical,White,Female,0,0,30,United-States,<=50K
32.0,Private,205019,Post-Secondary Education,12,Never-married,Sales,Black,Male,0,0,50,United-States,<=50K
40.0,Private,121772,Post-Secondary Education,11,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
34.0,Private,245487,Basic Education,4,Married-civ-spouse,Transport-moving,Amer-Indian-Eskimo,Male,0,0,45,Mexico,<=50K
25.0,Self-emp-not-inc,176756,High School,9,Never-married,Farming-fishing,White,Male,0,0,35,United-States,<=50K
32.0,Private,186824,High School,9,Never-married,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
38.0,Private,28887,Basic Education,7,Married-civ-spouse,Sales,White,Male,0,0,50,United-States,<=50K
43.0,Self-emp-not-inc,292175,Advanced Education,14,Divorced,Exec-managerial,White,Female,0,0,45,United-States,>50K
40.0,Private,193524,Advanced Education,16,Married-civ-spouse,Prof-specialty,White,Male,0,0,60,United-States,>50K
54.0,Private,302146,High School,9,Separated,Other-service,Black,Female,0,0,20,United-States,<=50K
35.0,Federal-gov,76845,Basic Education,5,Married-civ-spouse,Farming-fishing,Black,Male,0,0,40,United-States,<=50K
43.0,Private,117037,Basic Education,7,Married-civ-spouse,Transport-moving,White,Male,0,2042,40,United-States,<=50K
59.0,Private,109015,High School,9,Divorced,Tech-support,White,Female,0,0,40,United-States,<=50K
